Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-01-02,28.9,30.02,27.799999,29.74,29.74,5916200,PTON
2020-01-03,29.49,31.25,29.290001,30.6,30.6,4974100,PTON
2020-01-06,30.610001,31.705,29.719999,29.75,29.75,4028900,PTON
2020-01-07,29.440001,30.84,28.83,30.4,30.4,3072000,PTON
2020-01-08,30.07,30.25,28.85,29.65,29.65,7474100,PTON
2020-01-09,29.379999,29.940001,27.584999,27.870001,27.870001,6567700,PTON
2020-01-10,27.85,28.15,26.889999,28.01,28.01,5938400,PTON
2020-01-13,28.299999,28.969999,27.24,28.530001,28.530001,3619100,PTON
2020-01-14,28.799999,30.26,28.35,29.690001,29.690001,4819100,PTON
2020-01-15,30.959999,31.440001,29.774,30.860001,30.860001,7822700,PTON
2020-01-16,31.1,31.799999,30.360001,30.83,30.83,5701300,PTON
2020-01-17,31,31.950001,30.783001,31.700001,31.700001,3831300,PTON
2020-01-21,31.690001,33.700001,31.6,32,32,4914300,PTON
2020-01-22,32.32,33.200001,30.530001,30.68,30.68,5374900,PTON
2020-01-23,30.690001,31.59,29.959999,30.059999,30.059999,3268500,PTON
2020-01-24,30.08,30.77,28.85,30.5,30.5,5259000,PTON
2020-01-27,29.67,31.379999,29.200001,31.25,31.25,4228500,PTON
2020-01-28,31.559999,31.65,30.559999,31.379999,31.379999,3737900,PTON
2020-01-29,32.360001,32.360001,30.809999,31.5,31.5,3508500,PTON
2020-01-30,31.25,32.299999,31.25,32.259998,32.259998,3785400,PTON
2020-01-31,32.25,32.52,31.021,32.360001,32.360001,3366300,PTON
2020-02-03,32.869999,33.5,31.940001,33.369999,33.369999,4807800,PTON
2020-02-04,33.91,34.599998,33.279999,33.470001,33.470001,7687600,PTON
2020-02-05,34.040001,34.09,31.639999,32.700001,32.700001,9397700,PTON
2020-02-06,29.940001,30.75,28.82,29,29,12108500,PTON
2020-02-07,28.59,28.59,27.049999,27.860001,27.860001,7796900,PTON
2020-02-10,27.83,29.059999,27.620001,28.6,28.6,3770500,PTON
2020-02-11,28.75,29.18,28.200001,28.65,28.65,2413300,PTON
2020-02-12,28.84,29.209999,28.25,28.34,28.34,2460300,PTON
